"","location","error","Best_error","Worst_error","distance","number"
"348","attic",2387.82017615492,1789.66010393664,4255.02175239061,48,8
"349","attic",1889.50084403106,1789.66010393664,4255.02175239061,48,8
"350","attic",2275.64341231893,1789.66010393664,4255.02175239061,48,8
"351","attic",4470.45836236339,1789.66010393664,4255.02175239061,48,9
"352","attic",1796.06545103533,1789.66010393664,4255.02175239061,48,9
"353","attic",3353.68097145592,1789.66010393664,4255.02175239061,48,9
"354","attic",2872.82936620069,1789.66010393664,4255.02175239061,48,9
"355","attic",2010.54532280232,1789.66010393664,4255.02175239061,48,9
"356","attic",2608.11381566093,1789.66010393664,4255.02175239061,48,9
"357","attic",2195.29150403487,1789.66010393664,4255.02175239061,48,9
"358","attic",3220.40556980628,1789.66010393664,4255.02175239061,48,9
"359","attic",4047.57142835007,1789.66010393664,4255.02175239061,48,9
"360","attic",1940.81693790887,1789.66010393664,4255.02175239061,48,9
"361","attic",1823.49918249738,1789.66010393664,4255.02175239061,48,10
"362","attic",2399.5938611999,1789.66010393664,4255.02175239061,48,10
"363","attic",3729.07162295499,1789.66010393664,4255.02175239061,48,10
"364","attic",1900.60518777618,1789.66010393664,4255.02175239061,48,10
"365","attic",1864.57318867303,1789.66010393664,4255.02175239061,48,10
"366","attic",2169.41789539639,1789.66010393664,4255.02175239061,48,10
"367","attic",2403.19325099392,1789.66010393664,4255.02175239061,48,10
"368","attic",2301.83263031524,1789.66010393664,4255.02175239061,48,10
"369","attic",1867.93686950659,1789.66010393664,4255.02175239061,48,10
"370","attic",2230.69504534279,1789.66010393664,4255.02175239061,48,10
"371","attic",2424.22106493112,1789.66010393664,4255.02175239061,48,11
"372","attic",1953.34129198708,1789.66010393664,4255.02175239061,48,11
"373","attic",6774.9911082996,1789.66010393664,4255.02175239061,48,11
"374","attic",2125.49822522858,1789.66010393664,4255.02175239061,48,11
"375","attic",3509.66553918325,1789.66010393664,4255.02175239061,48,11
"376","attic",2992.01909014894,1789.66010393664,4255.02175239061,48,11
"377","attic",3358.8158537618,1789.66010393664,4255.02175239061,48,11
"378","attic",3393.93082534354,1789.66010393664,4255.02175239061,48,11
"379","attic",3225.71757240601,1789.66010393664,4255.02175239061,48,11
"380","attic",2505.61531071149,1789.66010393664,4255.02175239061,48,11
"381","attic",2147.94736175829,1789.66010393664,4255.02175239061,48,12
"382","attic",2229.50720080151,1789.66010393664,4255.02175239061,48,12
"383","attic",2240.67477571884,1789.66010393664,4255.02175239061,48,12
"384","attic",2982.01064218134,1789.66010393664,4255.02175239061,48,12
"385","attic",2513.0989560173,1789.66010393664,4255.02175239061,48,12
"386","attic",6112.22864531695,1789.66010393664,4255.02175239061,48,12
"387","attic",3048.76007378672,1789.66010393664,4255.02175239061,48,12
"388","attic",1856.44727191408,1789.66010393664,4255.02175239061,48,12
"389","attic",2517.36427709642,1789.66010393664,4255.02175239061,48,12
"390","attic",2536.21918033993,1789.66010393664,4255.02175239061,48,12
"391","attic",21541.4007516894,1789.66010393664,4255.02175239061,96,2
"392","attic",3023.527447244,1789.66010393664,4255.02175239061,96,2
"393","attic",3023.527447244,1789.66010393664,4255.02175239061,96,2
"394","attic",31545.2264082098,1789.66010393664,4255.02175239061,96,2
"395","attic",2820.07099673775,1789.66010393664,4255.02175239061,96,2
"396","attic",17691.2270279202,1789.66010393664,4255.02175239061,96,2
"397","attic",9624.77609761567,1789.66010393664,4255.02175239061,96,2
"398","attic",17691.2270279202,1789.66010393664,4255.02175239061,96,2
"399","attic",14957.9758394675,1789.66010393664,4255.02175239061,96,2
"400","attic",19993.6347540978,1789.66010393664,4255.02175239061,96,2
"401","attic",4647.02084306651,1789.66010393664,4255.02175239061,96,3
"402","attic",5055.10735716606,1789.66010393664,4255.02175239061,96,3
"403","attic",3316.53751109386,1789.66010393664,4255.02175239061,96,3
"404","attic",5878.95795609204,1789.66010393664,4255.02175239061,96,3
"405","attic",5526.70371557862,1789.66010393664,4255.02175239061,96,3
"406","attic",1869.21584456959,1789.66010393664,4255.02175239061,96,3
"407","attic",2544.12681974258,1789.66010393664,4255.02175239061,96,3
"408","attic",19779.6483251626,1789.66010393664,4255.02175239061,96,3
